,text_lower
620,"b""@boo2905 hi suzanne. thanks for your message, i'm sorry that it's taken so long to come back to you. if you use thi\xe2\x80\xa6 https://t.co/8tt9jnmhlg"""
621,"b""@jpjpjpjpjpjp94 i'm so sorry jp but i can't guarantee that due to the volume of messages our team are currently dea\xe2\x80\xa6 https://t.co/tauywzwpku"""
622,"b'@hedgehunter80 no problem at all kelly. \xf0\x9f\x91\x8d stay safe, cass'"
623,b'@slaterjames18 you can now request that we transfer your credit balance back to your bank account online to save yo\xe2\x80\xa6 https://t.co/saamvntp4s'
624,b'@missdarlinn thanks for letting us know. stay safe. \xf0\x9f\x91\x8d cass'
625,"b'fraudsters are taking advantage of the coronavirus situation with a range of new scams \xe2\x80\x93 via text messages, emails\xe2\x80\xa6 https://t.co/5ndal7oa2i'"
626,b'@hedgehunter80 you can now request that we transfer your credit balance back to your bank account online to save yo\xe2\x80\xa6 https://t.co/dzzjya1hkl'
627,b'@geoff_wiv_a_g thanks for letting us know geoff and thanks for your patience! stay safe. cass'
628,"b""@dickturpinsmask i'm so sorry to hear this adam, if you send us a dm with your postcode and phone number then we'll\xe2\x80\xa6 https://t.co/wexmdxhsoq"""
629,"b""@emilyxvxo i'm so sorry emily but i can't give you a timescale as the team are dealing with such high volumes of di\xe2\x80\xa6 https://t.co/gkgdjbxkxo"""
630,"b""@loosemoosh hey there, it looks like you're trying to get through to the team @barclaysbankus so it might be worth\xe2\x80\xa6 https://t.co/nttg3xo1bp"""
631,"b""@hesmore_ hi there. i'm really sorry for your wait. did you manage to speak to anyone? if not, can you tell me a li\xe2\x80\xa6 https://t.co/a1zreiyv9m"""
632,"b'@charmaine_gina just call us on 0800 151 0900, 24 hours a day and select option 1 after you have heard the recorded\xe2\x80\xa6 https://t.co/vrg9nur71c'"
633,"b'@charmaine_gina hey gina, i know the wait times are frustrating but i assure you that the team are trying to help a\xe2\x80\xa6 https://t.co/cuvjrhrnte'"
634,"b""@mgrayso86353221 i've noticed your dms, i'll respond to you there. dotty"""
635,"b""it's simple to view and download your barclaycard statements.  just log in or register for online servicing and cho\xe2\x80\xa6 https://t.co/u52myqcnez"""
636,"b""@natashakings89 hi natasha, i'll reply to your dm now. thanks nikki"""
637,"b""@oliversontour sorry you've had problems with that. if you go here:  https://t.co/o2v1foniyl t just scroll down to\xe2\x80\xa6 https://t.co/ps8sajmr9k"""
638,"b""@sophiegoodman3 hi sophie, i'll reply to your dm now. thanks nikki"""
639,"b""@jacksnufc i've passed your thanks on to julia. so happy she managed to sort that out for you jackie. thanks nikki"""
640,"b""@highburysam sorry for the delay sam and glad you have now received a form. sorry for the trouble you've had up unt\xe2\x80\xa6 https://t.co/ib05bu7vjg"""
641,"b'@craigat09 hi craig, sorry for the delay. did you manage to get this sorted? if not please send me a dm with some i\xe2\x80\xa6 https://t.co/mkirwijptj'"
642,b'@mats_247 great news \xf0\x9f\x98\x8a dean.'
643,"b'@kikiryan86 hi kelly, you can use this link to request your refund https://t.co/60fqqbnolj dean.'"
644,"b""@grahamappleton5 sorry about that graham, we are extremely busy we do recommend calling if it's urgent. did you get\xe2\x80\xa6 https://t.co/3iniludrlk"""
645,"b'@hayleyjade_ apologies hayley, have you managed to make your payment? if not you can do this on our website, app or\xe2\x80\xa6 https://t.co/sli9tizctq'"
646,"b'@javvy_jav apologies jav, have you got this sorted? can i help you at all? dean.'"
647,"b""@myktbh hey, yes we're here but extremely busy. can i help you out at all? dean."""
648,"b'@kikiryan86 how can i help kelly, what are you calling for? dean.'"
649,"b'@michaelmowbray1 i am sorry michael, if you drop me a dm we can check this out. dean. https://t.co/mpqb4etryv'"
650,"b'@lolodilello apologies, what do you need help with? dean.'"
651,"b'@caroline_bolt i am sorry about that caroline, can i help you out at all? dean.'"
652,"b'@missdarlinn we are, but very busy. can i help at all? dean.'"
653,"b""@inguidowetrust hey, if you're also needing to dispute a transaction you can do this online through your online account as well. dean."""
654,"b""@v8fettler hi craige, sorry about that we're extremely busy. you can raise a case online via your online account an\xe2\x80\xa6 https://t.co/g1hpx6wunk"""
655,"b'@sheena83627553 apologies sheena, you should still be able to use our automated system to make the payment. alterna\xe2\x80\xa6 https://t.co/7zywcxi2rs'"
656,"b""@abbiewilson27 hey abbie, it's usually around 5 wokring days maximum. dean."""
657,"b'@jamesdude11 sure, using this option \xf0\x9f\x91\x87 dean. https://t.co/mpqb4etryv'"
658,b'@darylcatpiss what are the errors jeff? dean.'
659,"b'@lexylaroche i am very sorry about that lexi, our team are extremely busy at the moment. can i help you out at all?\xe2\x80\xa6 https://t.co/bxeeswd6ec'"
660,"b'@kimmykimeleon hey kim, we do not have a timescale but can i help you with this? dean.'"
661,"b""@burble61 thanks for this, can i check if it's been sorted yet for you or don't you know? dean."""
662,"b'@bitmap_books i am sorry about that, can i check if this is a personal or business account? dean.'"
663,"b'@alex86308763 hi alex, i am sorry about that. if you drop us a dm with her name, postcode and phone number we can t\xe2\x80\xa6 https://t.co/gxz1lk2gho'"
664,"b""@marvels1981 hi martin, sorry for the delay. you will need to speak with the team but they're extremely busy at the\xe2\x80\xa6 https://t.co/8sncfj3r5e"""
665,"b""@anybassdrum i'm sure we are \xf0\x9f\x91\x8c https://t.co/z0zp9zxbhg dean."""
666,"b'@mats_247 hi, i am sorry about this. the team are extremely busy at present, when is your payment due? do you have\xe2\x80\xa6 https://t.co/obbjld7wl1'"
667,"b'@beccej okay bec, can you dm me with your phone number, postcode and full name please? dean. https://t.co/mpqb4etryv'"
668,"b""@annapascoe hi anna, payments can vary depending on the amount of working days in a month. we'll usually keep this\xe2\x80\xa6 https://t.co/ecjmsm97yl"""
669,"b'@melissa_carp please accept my apologies melissa, can i help you out at all? dean.'"
670,"b""@joezepecki sorry about this joe, you'll need to speak to my colleagues in the us about this @askbarclaysus monday\xe2\x80\xa6 https://t.co/2omyf4kxxu"""
671,"b""@rst220 i am sorry about that iain, can i help you at all? dm me if that's easier. dean. https://t.co/mpqb4etryv"""
672,"b""@staurt1 hi stuart, we're still sending statements to customer. is there something specific you're after? dean."""
673,"b'@bobbyd1230 hi bobby, i have responded to your dm about this. dean.'"
674,"b""@jsunderland42 hi jessica, you'll need to speak to our us colleagues about this @askbarclaysus monday to friday 9am-5pm est. dean."""
675,"b'@olivero13771028 hi oliver, the forms not been live for 3 weeks so how have you applied? once it has been processed\xe2\x80\xa6 https://t.co/wiazvfwluj'"
676,"b""@opinessrp apologies, can i check if you're a uk or us customer? if you're needing our us team you'll find them her\xe2\x80\xa6 https://t.co/imzlsgpnve"""
677,"b""@jenniep2020 hi j, you'll need to speak to my colleagues in the us about this @askbarclaysus monday to friday 9am-5pm est. dean."""
678,"b""@dhedged hey, we sure are but are extremely busy. can i help you out at all? dm me if you'd prefer too. dean. https://t.co/mpqb4etryv"""
679,"b""@ron90775112 i am very sorry to hear this ron, you'll need to reach out to my us colleagues about this\xe2\x80\xa6 https://t.co/smtb0594zj"""
680,"b'@jordsliddle i am very sorry about that jordan, can i help you out at all? dean.'"
681,"b""@jonas73878178 i'll feed this back to the team jonas. thanks for getting in touch, i'm not an iphone user myself bu\xe2\x80\xa6 https://t.co/t7sl9nnwo2"""
682,"b""@sirpadington hi ryan, welcome to barclaycard uk. you'll need to speak to the team @askbarclaysus to see if they ca\xe2\x80\xa6 https://t.co/14pnrvbrin"""
683,"b'@liz90175518 hi liz, you need to use this link to apply https://t.co/z0zp9zxbhg dean.'"
684,b'@sophiedigital if you dm me your postcode and phone number we can take a look at this for you sophie. dean. https://t.co/mpqb4etryv'
685,"b'@braddparkinn hi bradley, do you have access to the website you can query a transaction there. if not we do have an\xe2\x80\xa6 https://t.co/b2lszcjuje'"
686,"b""@sirpadington @pelster29 hi ryan, are you a us customer? you'll need to contact our us team if so @askbarclaysus mo\xe2\x80\xa6 https://t.co/hajziypgux"""
687,"b""@fozziebearfan thanks for your message, i'm sorry that it's taken so long to come back to you we are working as har\xe2\x80\xa6 https://t.co/w97fdn9t0c"""
688,"b""@shazz_lynch apologies sharon, we're extremely busy. can i help you out at all? dm me if that's easier. dean. https://t.co/mpqb4etryv"""
689,"b'@aliciagturrell sorry about this alicia, have you got sorted? if not please drop me a dm so we can look into this f\xe2\x80\xa6 https://t.co/d9t9m63wba'"
690,"b""@grammar12267939 @monzo @starlingbank thanks for your message, i'm sorry that it's taken so long to come back to yo\xe2\x80\xa6 https://t.co/ma2qzec0qv"""
691,"b""@fannnster hi fannie. sorry that you're having some issues with your account, if you contact our friends\xe2\x80\xa6 https://t.co/zcz2sl2jep"""
692,b'@geoff_wiv_a_g 2/2 you can use our telephone checker to see if any number that is calling you is genuine. you can f\xe2\x80\xa6 https://t.co/8gj5qcrprl'
693,"b""@geoff_wiv_a_g hi geoffrey. thanks for your message, i'm sorry that it's taken so long to come back to you we are w\xe2\x80\xa6 https://t.co/te7zw5ebw1"""
694,"b'@theycallmeafra if you have pre-approved offers, these will show in the app and online banking. if you see the offe\xe2\x80\xa6 https://t.co/zsggsmlgwv'"
695,"b""@phiiiipblackman that's great! i'm over the moon to hear that you've been able to get sorted, phillip :) let us kno\xe2\x80\xa6 https://t.co/mbn2i8tlwp"""
696,"b'@konnysparks hi konrad. sorry for the delay in our reply. we are extremely busy at the moment, sorry we missed your\xe2\x80\xa6 https://t.co/b4uhrksyas'"
697,"b'@tomswalters hello thomas, can you send a dm over with a little bit more information as to what is happening when y\xe2\x80\xa6 https://t.co/sw5zfdpdvc'"
698,"b'@_melissajackson hello melissa,you can now request that we transfer your credit balance back to your bank account o\xe2\x80\xa6 https://t.co/9myxmijx8a'"
699,b'@maxloelz hi there. i noticed your message. is there anything i can do to help? nicola'
700,"b""@davey_reegs i'm pleased to hear you managed to get sorted, davey. don't worry, we understand it's frustrating. kristos"""
701,"b'@yekim_mikey hi there, michael. sorry for the delay getting back to you. there are multiple ways to pay your bill.\xe2\x80\xa6 https://t.co/yejeauk8nh'"
702,"b""@tanyakgx hi, tanya. sorry for the delay. i can see we've responded to your dm. kristos"""
703,"b""@rhiannaoliviab ah, makes the day go by quicker doesn't it?! \xf0\x9f\x98\x81 just see the following site for more details on how\xe2\x80\xa6 https://t.co/vk4uz9zzrg"""
704,"b""@carlcrowther5 hi carl. i'm really sorry for the delay in our reply. the lines are extremely busy at the moment and\xe2\x80\xa6 https://t.co/jnn0ghx7x1"""
705,"b""@colemc_ just to let you know, cole - i've just replied to your dm \xf0\x9f\x91\x8d dotty"""
706,"b""@dylxcarti just to let you know, i've just replied to your dm \xf0\x9f\x91\x8d dotty"""
707,b'@beardyirish no worries at all! take a look at the following for further steps to close your barclaycard; https://t.co/znziijtuhv dotty'
708,b'rt @barclaysuk: we\xe2\x80\x99d like to say a big thank you to nhs staff and all key workers for their hard work and dedication in the fight against c\xe2\x80\xa6'
709,"b""@alisonsawyer have you had confirmation that your payment holiday has been put in place? if so, you wouldn't need to do anything :) brogan"""
710,"b""@mosschop97ash hey ash, i'm very sorry that you're having troubles claiming your money back. can you pop over to dm\xe2\x80\xa6 https://t.co/3sthdec242"""
711,"b""@xanadualx sorry for the delay in getting back to you alex, we've been super busy across all channels. i'm glad you\xe2\x80\xa6 https://t.co/szysexpcie"""
712,"b'@97relf i am very sorry about this, i hope you were able to get in touch. if not can you pop over to dm and let me\xe2\x80\xa6 https://t.co/tzc2qdueid'"
713,"b'@samphireshop i am very sorry about this karen, have you been able to get in touch? if not, can you pop over to dm\xe2\x80\xa6 https://t.co/rpcodsbprg'"
714,"b""@kee_mill i'm very sorry about this, did you manage to get through? if not, please pop over to dm and let me know w\xe2\x80\xa6 https://t.co/het9ppxw0l"""
715,"b""@honey_bee_4 if you're looking to speak about an unauthorised payment, it's best to speak with our disputes managem\xe2\x80\xa6 https://t.co/fuef7zh9yz"""
716,"b'@shootingbucks i am sorry about this bruce, the texts are automated, we are looking into this. the team are working\xe2\x80\xa6 https://t.co/9vlddheatc'"
717,"b""@jose_bear would you mind telling me the reason for your call via dm? i'd like to help, if i can! dotty 4/4 https://t.co/mpqb4etryv"""
718,"b""@jose_bear with all of this being said, please don't call us unless you absolutely have to - as i can almost guaran\xe2\x80\xa6 https://t.co/3wjws6va4m"""
719,"b'@jose_bear to help us support those who are in most urgent need, we\xe2\x80\x99d ask you to check the information below first,\xe2\x80\xa6 https://t.co/p68qnfm2f1'"
720,"b'@jose_bear hi dave, we have fewer colleagues than usual answering the phones right now because of the coronavirus o\xe2\x80\xa6 https://t.co/p683fu02sc'"
721,"b""@honey_bee_4 thanks melissa. our general customer service team is open until 8pm, but it's possible their lines wer\xe2\x80\xa6 https://t.co/efbjqm4rvo"""
722,"b""@piemanjames i hope that you've managed to get through and speak to us - however, if you haven't, please dm the rea\xe2\x80\xa6 https://t.co/rhrpqwa8ph"""
723,"b'@piemanjames to help us support those who are in most urgent need, we\xe2\x80\x99d ask you to check the information below firs\xe2\x80\xa6 https://t.co/sbicdrkvep'"
724,"b'@piemanjames hi there, we have fewer colleagues than usual answering the phones right now because of the coronaviru\xe2\x80\xa6 https://t.co/hxuyspxbp8'"
725,"b""@justasparky with that being said - if you haven't managed to get through to us, could you tell me the reason for y\xe2\x80\xa6 https://t.co/apkxobjoom"""
726,"b'@jpjpjpjpjpjp94 hi jp! due to the effects of the coronavirus, we have fewer colleagues than usual working at the mo\xe2\x80\xa6 https://t.co/39beviq4hi'"
727,"b'@justasparky to help us support those who are in most urgent need, we\xe2\x80\x99d ask you to check the information below firs\xe2\x80\xa6 https://t.co/6pwgc0jaqv'"
728,"b'@justasparky hi justin, we have fewer colleagues than usual answering the phones right now because of the coronavir\xe2\x80\xa6 https://t.co/rdfzdkh8vk'"
729,"b""@hankmoodiest hi mark, i'm not able to check that for you here on twitter. when did you log your dispute with us pl\xe2\x80\xa6 https://t.co/bze9jyuydm"""
730,b'@jenniep2020 hi. is this a credit on a uk or us card? for uk you can see how to request this here:\xe2\x80\xa6 https://t.co/kkv5jzowki'
731,"b""@honey_bee_4 hi melissa, sorry that you've been having some trouble! what team were you calling, and what number we\xe2\x80\xa6 https://t.co/nj8knv3gls"""
732,"b'@cookhamsimon hey simon, i am sorry for the delay in getting back to you. did you manage to get through? if not ple\xe2\x80\xa6 https://t.co/b90xyskseb'"
733,"b'@james40763597 oh my i am very sorry about this james, have you been able to get in touch? if not, please pop over\xe2\x80\xa6 https://t.co/swylqfskbn'"
734,"b'@danielarda we appreciate this may be frustrating, and our colleagues are working to try and help as many people as\xe2\x80\xa6 https://t.co/qtlugunyco'"
735,"b'@danielarda to help us support those who are in most urgent need, we\xe2\x80\x99d ask you to check the information below first\xe2\x80\xa6 https://t.co/nf8oeff8d9'"
736,"b'@danielarda hi daniel, we have fewer colleagues than usual answering the phones right now because of the coronaviru\xe2\x80\xa6 https://t.co/oqtregln8w'"
737,"b'@coffeeorpoetry @barclaysldn we appreciate this may be frustrating, and our colleagues are working to try and help\xe2\x80\xa6 https://t.co/syddzmoso2'"
738,"b""@coffeeorpoetry @barclaysldn hey tashin, i'm sorry about the wait time. however, it's something we've no control ov\xe2\x80\xa6 https://t.co/hiotqaui8q"""
739,"b""@jessprescott i am very sorry about this jess, i hope you've been able to get sorted. have you already raised the d\xe2\x80\xa6 https://t.co/9tulpdo0i3"""
740,"b""@__ms__c @xoticpc @amazonhelp @asus sorry, we are barclaycard uk and wouldn;t be able to help you here i'm afraid.\xe2\x80\xa6 https://t.co/bluxomcoxj"""
741,"b""@jonzaldinho hey jp, thanks for reaching out to us here! there's a couple of ways that you can report fraud on an a\xe2\x80\xa6 https://t.co/cgpoh7si0w"""
742,"b'@mrskryder hi kirsten, sorry for the late reply. aside from persisting with what you have already tried which i app\xe2\x80\xa6 https://t.co/9pn4na0pyk'"
743,"b""@_melissajackson hey melissa, i'm sorry about the late reply! yeah, you would get a message when you initially call\xe2\x80\xa6 https://t.co/5r0yqcee8t"""
744,"b""@honey_bee_4 no worries at all, melissa! remember that we're here 24/7 if you need us again here, in future! dotty"""
745,"b""@hanim_soy hey hanim, i've noticed your tweet - is there anything i can help you with this afternoon? dotty"""
746,"b""@jasonpengelly24 i'm not sure jason, however if you reach out to our friends @bcardbusiness they'll be happy to help. thanks, dan."""
747,"b""@blueeyedbeaut31 i'm really sorry about this we are working as hard as we can to deal with the amount of queries th\xe2\x80\xa6 https://t.co/yqqx5vnb0q"""
748,"b'@renepower hi rene, i\xe2\x80\x99d like to see if i can help with this or give you further guidance, would it be possible to s\xe2\x80\xa6 https://t.co/rpcwu3wumm'"
749,"b'@leonbrunt hi leon, i\xe2\x80\x99d like to see if i can help with this, would it be possible to send over a dm with a little m\xe2\x80\xa6 https://t.co/fobwulqo29'"
750,"b""@jippo1975 hey justin, thanks for your message and sorry for your long wait, we're so busy but we appreciate your p\xe2\x80\xa6 https://t.co/tppseakkjo"""
751,"b""@stevetrevelyan3 i'm sorry about this steve, the text messages are automated unfortunately. have you applied for a payment holiday? brogan"""
752,"b""@croquetpics i'm very sorry about this! did you get through? if not, can you pop over to dm and let me know what yo\xe2\x80\xa6 https://t.co/plqpmdxjnz"""
753,"b""@ally1889 you'd just match up the beginning of your card number to the beginning of the number before the #'s start :) brogan"""
754,"b'@majidkh34428373 hi majid, sorry for the long hold times. we have fewer colleagues than usual answering the phones\xe2\x80\xa6 https://t.co/coc4mk2r7c'"
755,"b""@finola_rise hi finola, i'm sorry that you've had some trouble submitting this online! i'm not aware of any issues\xe2\x80\xa6 https://t.co/oxhxpbir5c"""
756,"b""@adamlea2 i'm sorry about this, some payments would need to be done with our team, depending on the dispute reason.\xe2\x80\xa6 https://t.co/vdwohewbn9"""
757,"b'@22callisto22 hi there, you can type your query in a dm at any point if none of the options relate to your issue. p\xe2\x80\xa6 https://t.co/rwwaodpqev'"
758,"b""@victoria_cal hey victoria, it's alright, i know what you need to do here. so, yes we can have that paid over to yo\xe2\x80\xa6 https://t.co/steb6hdaxf"""
759,b'@mitsy2k so sorry about this sam. i have responded to your other message. - brendan'
760,"b'@mitsy2k hi sam, sorry for the wait. if you still need to pay there are other ways to pay to save you waiting on th\xe2\x80\xa6 https://t.co/engxc7xu0v'"
761,"b""@downup5ide i'm very sorry about this, did you manage to get through? if not, please pop over to dm with a little m\xe2\x80\xa6 https://t.co/053tzrsyc5"""
762,"b""@akelecsol hi there, i've picked up your dm now so will get back to you as quickly as possible. paul"""
763,"b""@04smarties hi sally, can you drop me a dm so i can ask a few questions about what you've done so far? https://t.co/mpqb4etryv"""
764,b'@_mrmorrison_ we are only asking customers to call if it is a financial emergency. i\xe2\x80\x99d like to try and help or give\xe2\x80\xa6 https://t.co/onbupte01l'
765,"b'@_mrmorrison_ hi joe, i\xe2\x80\x99m sorry for the delay in my reply, we\xe2\x80\x99re extremely busy at the moment. we\xe2\x80\x99re also experienc\xe2\x80\xa6 https://t.co/cdmuvnrn51'"
766,"b'@__ms__c @xoticpc @amazonhelp @asus hi kurt, \n\nare you a barclaycard uk customer?\n\nbrendan'"
767,"b""@1carolineberry hi there caroline, i'm sorry to hear you haven't receive help when you need it! pop across to dm wi\xe2\x80\xa6 https://t.co/56doqp976b"""
768,b'been offered a coronavirus related investment \xe2\x80\x98opportunity\xe2\x80\x99? it could be a scam- sadly there are lots at the moment\xe2\x80\xa6 https://t.co/x2mvqfc90c'
769,"b'@rachhiggi hi rachael, sorry for the wait. if you still need to pay you can check out which way would be best here\xe2\x80\xa6 https://t.co/uphd4lnl6x'"
770,"b'@darylcatpiss i\xe2\x80\x99m afraid due to the outbreak we have less staff available to answer calls, reply to messages and a\xe2\x80\xa6 https://t.co/xecyocdp3v'"
771,"b""@jpwd78 hi john, you will need to call to get unlocked i'm afraid, there isn't a way around that. if you visit\xe2\x80\xa6 https://t.co/ibmy5aqwcv"""
772,"b'@alessi_hr i\xe2\x80\x99m afraid due to the outbreak we have less staff available to answer calls, reply to messages and a lot\xe2\x80\xa6 https://t.co/gga0yozwoa'"
773,"b'@alessi_hr hi alessi, i\xe2\x80\x99m sorry you\xe2\x80\x99re facing issues logging in there. you will need to call 0800 151 0900 to have\xe2\x80\xa6 https://t.co/wwxtpfups3'"
774,"b'@jamesdude11 hi james, this is so lovely to hear! thanks for taking the time to share this :) \n\n- christie'"
775,"b""@mgrayso86353221 hi there - i see you've messaged in a few places and come through to us via dm - i will reply to y\xe2\x80\xa6 https://t.co/ravkmibkyc"""
776,b'@howellslaura hi laura. sorry for the delay in getting back to you. you can dispute a transaction using one of the\xe2\x80\xa6 https://t.co/sa3wnnlhxk'
777,"b'@captainzzzs i am very sorry about this brad, did you manage to get through? if not, can you pop over to dm and let\xe2\x80\xa6 https://t.co/tc8nyymg9q'"
778,"b""@ts09mjm hi michael, i'd certainly like to see how we can help. can you pop over to dm so we can chat further? also\xe2\x80\xa6 https://t.co/4glddjhso9"""
779,"b""@dijon9955 hi dijon, sorry i'm not fully aware what's in place with our us team. it will be best to head over to\xe2\x80\xa6 https://t.co/pyro64y07s"""
780,"b'@kberleekim i am so sorry to hear of your loss kim, i would like to help you. can you please send us a dm with your\xe2\x80\xa6 https://t.co/aa1wvfj9hw'"
781,"b'@bigsimo79 hi simon, that does sound a little odd. can you try closing down all background apps, ensuring your phon\xe2\x80\xa6 https://t.co/hfdzyksdnf'"
782,b'@jfdh you can now request that we transfer your credit balance back to your bank account online to save you having\xe2\x80\xa6 https://t.co/7u2slhz64e'
783,"b""@jrw_socialmedia hi jen, i am sorry for the delay in getting back to you, we've been super busy across all channels\xe2\x80\xa6 https://t.co/1d2jqzjvbm"""
784,"b'@thequietboss @jordankmc hi christian, i\xe2\x80\x99ve noticed your tweet and really want to help, but it appears from your lo\xe2\x80\xa6 https://t.co/dim4auweum'"
785,"b'@woolley3583 hello kirk, did you manage to get through to someone?  if not, please come to dm where the character c\xe2\x80\xa6 https://t.co/p0sgnszz21'"
786,"b""@imatd519 hi there, i'm sorry to hear this has happened. you can look to report fraudulent transactions online here\xe2\x80\xa6 https://t.co/o1wcmmlysy"""
787,"b""@_bjw720 hi there, i'm sorry for the delay. it's not great to see that you've not been able to speak to someone yet\xe2\x80\xa6 https://t.co/zazleiduzc"""
788,"b'@emily_adz hello emily, please come over to dm where the character count is higher and we can look to explore optio\xe2\x80\xa6 https://t.co/od0765ljpg'"
789,"b'@crechereda hi there, sorry for the delay. please send a message to our friends at barclaysus here and one of my co\xe2\x80\xa6 https://t.co/7hbpyblprz'"
790,"b""@heumen4 hi there, i'm sorry for the delay. it's not great to see that you've not received a reply yet, could you p\xe2\x80\xa6 https://t.co/cuzlp6pxe4"""
791,"b""@joelstern hi joel, i'm sorry for the delay. it's not great to see that you've not been able to speak to someone ye\xe2\x80\xa6 https://t.co/7yiiqtu2sn"""
792,"b""@lucy__woodcock hi lucy, i'm sorry for the delay. it's not great to see that you've not been able to speak to someo\xe2\x80\xa6 https://t.co/khkf6mzqy5"""
793,"b""@irishbarnes hi james, i'm sorry to see that you haven't been able to speak to someone yet. could you please let me\xe2\x80\xa6 https://t.co/ufpirwtfgp"""
794,"b""@jordankmc hi there, sorry for the delay. it's not great to see that you haven't been able to speak to someone yet.\xe2\x80\xa6 https://t.co/rkoxzyd0be"""
795,"b""@samleigh1994 hi there, i'm sorry for the delay. our telephone teams are really busy at the moment, could you pleas\xe2\x80\xa6 https://t.co/kkzf7veugk"""
796,"b'@beccej hi bec, sorry to her your locked out, can you tell me if you\xe2\x80\x99re receiving any error codes so i can look to advise further? -siobhan'"
797,"b""@placesilove hi alex, sorry for the delay. i'm sorry for the delay.. if your income has been affected by coronaviru\xe2\x80\xa6 https://t.co/ukr4asqqby"""
798,"b""@noyam hi there, i'm sorry for the delay in responding to your message. could you please let me know the reason why\xe2\x80\xa6 https://t.co/gtu9qyzivl"""
799,"b""@knaves16 hi there, sorry for the delay. it's not great to see that this has happened, could you please send me a d\xe2\x80\xa6 https://t.co/qkrallcfbm"""
800,"b""@massagejasmine hi there, sorry for the delay. it's not great to see that you haven't been able to speak to us yet.\xe2\x80\xa6 https://t.co/tiayfjxaly"""
801,"b'@charcharb1nks hello char, you would be covered as this company is allowing you to purchase tickets and this would\xe2\x80\xa6 https://t.co/ulz0eh8ldk'"
802,"b'@jordysniper hi jordan, sorry for the delay. could you please let me know if you have access to the barclays app? y\xe2\x80\xa6 https://t.co/avfawek8j8'"
803,"b""@lamon1 hi monica, sorry for the delay in responding to your message. this isn't great to hear, could you please po\xe2\x80\xa6 https://t.co/rfx23lld0x"""
804,b'@robbarker1982 yes they are separate.  -ross'
805,b'@dansanders89 if you can please respnd with a dm so i can give further guidance. -siobhan https://t.co/mpqb4etryv'
806,"b""@chris_debrab sorry for the delay in getting back to you chris, we've been super busy across all channels. did you\xe2\x80\xa6 https://t.co/temxzfcp4s"""
807,"b""@amyamylf hi amy, thanks for reaching out to us, you'd be able to receive a refund onto the account, this would be\xe2\x80\xa6 https://t.co/ngswanbham"""
808,"b""@pete_bassist hi peter, i'm sorry for the delay in getting back to you, we've been super busy. did you get in touch\xe2\x80\xa6 https://t.co/rfve8tv2zw"""
809,"b""@gavmatthewman i'm very sorry for the delay in getting back to you gav, did your wife manage to get through to us?\xe2\x80\xa6 https://t.co/0bqeknkfmu"""
810,"b'@dansanders89 hi daniel, i\xe2\x80\x99m sorry for the delay in my reply, we\xe2\x80\x99re extremely busy at the moment. there\xe2\x80\x99s less coll\xe2\x80\xa6 https://t.co/dhtufvt0kp'"
811,"b""@laurajkellett i'm sorry for the delay in getting back to you laura, did you manage to get through? if not, please\xe2\x80\xa6 https://t.co/xos0bep3zr"""
812,"b""@mish_l_pattison i am sorry for the delay in getting back to you michelle, we've been super busy across all channel\xe2\x80\xa6 https://t.co/zxen8jffen"""
813,"b'@pelster29 hi patrice, i am sorry about this, did you get in touch? if not, can you pop over to dm and let me know\xe2\x80\xa6 https://t.co/w70fpzjvuq'"
814,"b'@mafyewj hi matty, \nsorry for the delay in my reply, we\xe2\x80\x99re extremely busy at the moment. if the airline has cancell\xe2\x80\xa6 https://t.co/sllmfrbwkh'"
815,b'@pentlandsboy lots of companies even ourselves are finding it difficult to manage the customer and workload due to\xe2\x80\xa6 https://t.co/w81gsn2ll8'
816,"b'@pentlandsboy hi derek, \n\ni honestly believe that your travel provider will be looking to offer you a refund, but w\xe2\x80\xa6 https://t.co/qqhlfo9anh'"
817,"b""@monstrousfemme i'm very sorry about this, did you manage to get in touch? if not can you pop over to dm and let me\xe2\x80\xa6 https://t.co/z3vvaxxeqv"""
818,"b""@sophiedigital hi sophie. i'm really sorry about this. the phone lines are extremely busy at the moment, as you're\xe2\x80\xa6 https://t.co/es6gputwjt"""
819,"b""@phiiiipblackman hi phillip, i am sorry for the delay in getting back to you, we've been super busy across all chan\xe2\x80\xa6 https://t.co/oxtjij6owv"""
820,"b""@bfdbullz hi michael, i'm very sorry about that and thank you for your understanding.  if you would like to dm me y\xe2\x80\xa6 https://t.co/te8lv7lpai"""
821,"b'@kazzachick i am sorry about this karen, can you pop over to dm and let us know what was said on the phone call as\xe2\x80\xa6 https://t.co/envxqi48ir'"
822,"b'@ohhayfishhh sorry about that, i have no idea why you keep getting cut off. drop me a dm  with your name and post c\xe2\x80\xa6 https://t.co/fgyo8ifmy5'"
823,"b""@kinney0102 hi there. sorry for the wait. we're a lot busier at the moment, due to the effects of coronavirus. did\xe2\x80\xa6 https://t.co/sepsxnjsqy"""
824,"b""@rosalindbees hi rosalind. i'm really sorry for the delay in our reply. did you manage to speak to us? if not, can\xe2\x80\xa6 https://t.co/trvajiae0x"""
825,"b'@mrchocolateh hi john. sorry for the delay in our reply. so that we can help further with this, could you please co\xe2\x80\xa6 https://t.co/a1zfvczlfl'"
826,"b""@josieteacher123 hi josie. sorry for the delay in our reply. i can see that you've also sent us a dm, i'll respond there. nicola"""
