,text_punct
931,bpimran786 Im sorry Imran I know its very frustrating Feel free to pop over to DM if youd like us to try helpxe2x80xa6 httpstcomGZymL4ktz
932,bJasmelBarring If not please come to DM where the character count is higher and explain what you are wanting to knoxe2x80xa6 httpstcoDtF3JzuFJe
933,bJasmelBarring Hello Jasmel sorry for the late reply  We are experiencing high call volumes and we are also havinxe2x80xa6 httpstcoU1UK9zDdIu
934,bFindingCyril Hi there we have fewer colleagues than usual answering the phones right now because of the coronavirxe2x80xa6 httpstco4G5oDZOG8k
935,bQuinnKel Hi Kelly looking at that number I am assuming you are looking to reach Barclaycard US but youxe2x80x99ve Tweetexe2x80xa6 httpstco4mPvtvcV9K
936,bhannah_walker95 Hi Hannah Im so sorry for the delays when calling weve a lot of customers calling for supportxe2x80xa6 httpstcoPVwpDyomaf
937,bmoonphazes Hi Ames I can see that you have messaged a few days ago now did you manage to get back through to usxe2x80xa6 httpstcoTTG2CNOk5V
938,bameloah Right okay  thanks for explaining Patricia Im sorry youve not heard back You can now request that wexe2x80xa6 httpstcon1nkr78XEp
939,bAlexWood_Barton Ah nice one Alex Remember that were here 247 if you ever need us again in future In the meantxe2x80xa6 httpstcoFFx8kithE8
940,bAnandBhatt27 Hi Anand we review card usage on a regular basis and if a customer is not using the card we may canxe2x80xa6 httpstcoMPyRAsXu5F
941,bKellyWelburn Thank you for your patience with us Kelly sorry to hear of your shorter trip but glad to hear you got sorted Leigh
942,bstephenwilson37 Thank you for your patience with us Stephen glad to hear you got sorted Leigh
943,bCODWarfareForum Hey there if you select your card in the app scroll down and select View my PIN enter your caxe2x80xa6 httpstcofE6K0CdVED
944,bDeeOgunbiyi Hey Dee Im so glad you managed to get sorted in the end xf0x9fx98x81 Ive passed your message on to them to thexe2x80xa6 httpstcoM3r5G2zcDC
945,bOrganicbetlous How can I help Nancy DM me if its easier Dean httpstcomPqb4etrYV
946,bLondonErato Hi Jacqueline sorry to hear about this Were certainly helping customers with payment holidays as wexe2x80xa6 httpstcoas2SyhaXGd
947,bminimal_style13 Hi Sorry for the delay Did you manage to get this sorted If not head over to DM on the buttonxe2x80xa6 httpstcofku3P7Obtt
948,bnickychurchill Hi Nicky In that case our friends over at BcardBusiness will be able to take a look at this for yxe2x80xa6 httpstcouuBG3ATcQQ
949,bSaluteMyGayness Hey Lola I can see that this has been mentioned in DM please reach out to AskBarclaysUS Mondayxe2x80xa6 httpstcop9xKAqidp6
950,bJamiesawicki1 Hi Jamie If you can pop over to DM we can take a look at this for you Thanks Brendan httpstcomPqb4etrYV
951,bAnMNewsbox Youe more than welcome Rehana Stay Safe Cass
952,bCliffCartwright Hi Cliff Im sorry for the delay Were working through a queue on secure messages at the momentxe2x80xa6 httpstcoYxtxoFZQxX
953,btezo89 Hi Sorry for the delay in getting back to you Have you heard back from the team yet I know theyre reallxe2x80xa6 httpstcoRMzQs5OPlW
954,bkatiecustardo Hi Kate Im sorry for the hold up Did you manage to get through to the team to get this sorted Ifxe2x80xa6 httpstcohtnQC4Swmy
955,bEthanTa92753389 BarclaysBankUS Im sure theyll get back to you as soon as they can Ethan Thanks for your patience Cass
956,bJ_GRANT1109 Hi Sorry for the delay Thats right youll be able to see this on your statement If you log into thxe2x80xa6 httpstcodCEKCn25Wz
957,bcallum1790 Hi Callum We have queues in each of our channels at the moment Did you get a response If not if youxe2x80xa6 httpstcoIkWXLaxWF5
958,bspeedster67 Hi Jonathan Sorry for the delay If you still need help just head over to DM on the button below andxe2x80xa6 httpstcoLXYjo3aSQG
959,bEthanTa92753389 Ah in that case youll need to speak to BarclaysBankUS Ethan Theyll be able to point you in txe2x80xa6 httpstcoppftCT3JRV
960,bEthanTa92753389 Im really sorry Ethan but thats not something I can do here Can I just make sure it is a UK Barxe2x80xa6 httpstcoZUW8UprejA
961,bDougie_HW Hi Dougie If you need help with your Barclaycard youre welcome to drop us a DM so we can take a lookxe2x80xa6 httpstcoJQFTwlfcSy
962,bHothi Hi Manny Sorry for the hold up here Did you manage to sort this If not you may find the quickest optionxe2x80xa6 httpstcoeeOyOAGAZI
963,bObrienKieron Hi Kieron Im sorry for the hold up Did you manage to get your question answered If not just dropxe2x80xa6 httpstcoGljRDvcLaa
964,bbecca_cobb Hi Becca Sorry for the hold up Ive just dropped you a DM to help Thanks Brendan
965,bmrvm3110 moneyboxteam StarlingBank RevolutApp Thanks MampM xf0x9fx92xaa  Stay Safe Cass
966,bGary_Cookson Hi Gary Sorry we have fewer colleagues supporting on channels at the moment due to the impact of coxe2x80xa6 httpstco2nKzE8yAhv
967,bcurazychic Im so sorry for the delay Melissa Did you manage to get this sorted If not send me a quick DM withxe2x80xa6 httpstcoXEjJVpNfwT
968,bL4UR3_N Hi Lauren Sorry for the hold up If you want to pop over to DM on the button below we can take a look Txe2x80xa6 httpstcogu20tbtPU0
969,bEthanTa92753389 22 so this isnt urgent and youre OK to wait for a little then that would be great If it is urgxe2x80xa6 httpstcouWDUT9ne7L
970,bmarcodefig Hi Marco Sorry for the delay in responding to you Is this still showing or have you managed to clear it now Thanks Brendan
971,bEthanTa92753389 Hi Ethan Im really sorry for the delay Due to the current circumstances were asking customersxe2x80xa6 httpstcobUE15h0UGp
972,bEthanTa92753389 Blades60Martyn Hi Ethan Sorry for the delay in getting back to you If you want to pop over to Dxe2x80xa6 httpstcosCNGaDoIyW
973,bmonie4112 We do review our offers frequently so Im afraid if there are no offers showing then at the moment therexe2x80xa6 httpstco9wGz5txuNx
974,bpabintnorth78 larryandsammy You can now request that we transfer your credit balance back to your bank account onxe2x80xa6 httpstcoXGAXH3jGVx
975,bEthanTa92753389 Im sorry youre having problems getting through to us Ethan Were dealing with much higher volumxe2x80xa6 httpstco8x38VWXI4g
976,bvitosauras 22 link  httpstcoO2v1FoFjWV If you scroll to the bottom of the page youll find the relevant disxe2x80xa6 httpstco9jEqsnG35K
977,bvitosauras Hi Helen Im sorry for the delay in getting back to you Were working on an online solution for thisxe2x80xa6 httpstcoQVA97heKfR
978,blouisexwilkes Can you pop over to DM and let me know what youre calling for well look to do all we can to helpxe2x80xa6 httpstcofDOTawYeCo
979,bTrigster_1 I hope youve gotten sorted Colin this can also be done on the app if you have access to this If notxe2x80xa6 httpstcoOON7HgCk9I
980,bKazzachick Have you filled in the form for a repayment holiday KarenIf not you can do this herexe2x80xa6 httpstcoldoyvCYRPZ
981,bNotoriousP_I_E Hi Jason I hope youve been able to get in touch If not you can raise a dispute within your Onlixe2x80xa6 httpstcoQXeQDX0XQ6
982,bSamBull33 Hi Samantha if youre worried about the interest charges it may be best to call the team on 0800 151 09xe2x80xa6 httpstco2XA7F0R3in
983,bOMGHarveyNY Hi there I hope you were able to get through if not can you pop over to DM and let us know what youxe2x80xa6 httpstcoURrAdp8IYg
984,bItxe2x80x99s useful to know what goes into a credit score xe2x80x94 and the things that can affect it Find out morexe2x80xa6 httpstcoyfmSdzRrpm
985,bthis_benson Hi Tony Sorry for the delay in replying Youll find all the steps needed to raise your dispute withxe2x80xa6 httpstcolnRzdSDUDJ
986,bWardy00 Hi Dave Sorry for the delay in getting back to you Did you get this fixed If not pop over to DM on thexe2x80xa6 httpstco28WVDn8U5P
987,bneal_strange Hi Neal Sorry for the hold up Youll find guidance on how to do this on the link below at the bottxe2x80xa6 httpstcoYSmlVEovTS
988,bsusannah_t Hi Susannah Ive picked up your DM and responded if you check and let us know the details there welxe2x80xa6 httpstcofBJcak2e2U
989,bTheRobDuncan Sorry for the delay in responding Rob If you still need to get in touch then just let me know the bexe2x80xa6 httpstco6KIi5Cy2rI
990,blarryandsammy Hi If you received the refund you can that we transfer your credit balance back to your bank accouxe2x80xa6 httpstcoGvz9297sGo
991,bJayeThomas6 So sorry Jaye Ill take a look now and get back to you Thanks Cass
992,bi_mccullough There is a bit of a wait at the moment Ian so if you can leave it a little while then I definitely would Stay Safe Cass
993,boakwash Tshilham Ive replied to your other message Jack looks like Dan is on the case with this one Thanks Cass
994,boakwash paulrdon Sorry for the delay Jack I can Dans replied to you to let you know hes looking into whats happened here Thanks Cass
995,bCharleeStCloud Ah youd need to speak to the Disputes team to get the claim forms posted out to you Charlie Thexe2x80xa6 httpstcoy5GFgUfjO8
996,bCaptainstevie Hi Sorry for the delay in getting back to you Did you get this sorted If not head over to DM onxe2x80xa6 httpstcozKvIWLeH3Y
997,bx_amylouisee Hi Sorry for the delay in getting back to you Our phone lines are busy at the moment are you tryinxe2x80xa6 httpstcoICrBY9kNCt
998,bTshilham Hi Tam Sorry the delay in getting back to you Did you manage to get this sorted If not feel free to hxe2x80xa6 httpstcoK1EQDCr3FX
999,bi_mccullough Hi Ian Were very sorry to hear youd like to close your Barclaycard account To do so you would nexe2x80xa6 httpstco6rnJplbUKJ
1000,bFavelao1973 LaoluOfficial Hi there Sorry for the delay Were working through a high number of dispute cases atxe2x80xa6 httpstco3hRXJuLEFe
1001,bLouizaJeffcoat Hi Louiza Sorry for the hold up Did you manage to get this sorted If not drop  over to DM on thxe2x80xa6 httpstcoSSV3dVZbYp
1002,bgxzs Hi Sorry for the hold up on our reply All of our cards should be contactless now if you look at your cardxe2x80xa6 httpstcoCkuUclcrtH
1003,bpaulrdon Hey Paul Im really sorry you had difficulties in getting through to us I hope youre sorted now but ifxe2x80xa6 httpstcoMkjNXMWjR0
1004,bsheldy82 Fab thanks for letting us know David Thanks Cass
1005,bSaluteMyGayness Hi Lola Our buddies over at AskBarclaysUS would be the best team to link in with for support forxe2x80xa6 httpstco1mHASkbOKE
1006,bNazmaChowdhury3 Hi Nazma Sorry for the hold up If you still need help head over to DM and let us know what youxe2x80xa6 httpstcoSwOMk67RB7
1007,bNeesonRemovals Hi Sorry for the hold up Did you manage to get through If not feel free to head over to DM on txe2x80xa6 httpstcoqHekXGmTxl
1008,bheardatUNR Hi Brad Sorry for the hold up Is this for a US account If so our buddies over at AskBarclaysUS wilxe2x80xa6 httpstcoClNO9LSXeq
1009,bjay_08C Hi Jay Is this linked to a UK or a US account I think it may be the US and if so then our friends overxe2x80xa6 httpstcoxFeuVt6lI1
1010,bAndrea04433624 Hi Weve not withdrawn but offers are not always available For the technical difficulties messagxe2x80xa6 httpstcohFDwJ8AhyW
1011,bThomasjtaylor92 Hi Thomas If you pop over to DM on the button below well be happy to take a look at this for yoxe2x80xa6 httpstcoN43hCqU57X
1012,bdazdazzle Thats totally fine to do Daz  Jay
1013,br4ipie T_Bron Hi There Im sorry that youre having issues getting through to the team If you reach out to ourxe2x80xa6 httpstcoeCr0H5afe5
1014,bPeterAKAKincl Hiya Peter Id like to see if I can help Can you tell me a bit more about the situation and what yxe2x80xa6 httpstcoFvJTp1hKSB
1015,bRath0X Hi there the good news is that your can raise this through your myBarclaycard online Pop over to DM so wexe2x80xa6 httpstcoJQmBS3aHCG
1016,bwhitefrank95 If you would like us to look in to this for you please feel free to DM Nicola httpstcomPqb4etrYV
1017,bAdamDUBDay Hi Adam Id like to try understand whats going on when you upload the documents Is it asking for furxe2x80xa6 httpstcotRexf13Lgu
1018,bLuciousXVIII Feel free to pop over to DM so we can see if we can help you further with this  Rach httpstcomPqb4etrYV
1019,bwheildon140461 Hey Steven with the global situation were busier than usual and some teams arent in the officexe2x80xa6 httpstcot1ygm6YpoU
1020,bDavidSt09130967 Hey David Id like to try help feel free to pop over to DM with more info on whats happened xe2x80xa6 httpstcoTOJ4yezwFG
1021,bsholroyd31 Thanks for the feedback Stephen Im really glad you were able to get sorted in the end though give uxe2x80xa6 httpstcoAWEa1NzmM6
1022,blarryandsammy However if this is not possible and the refund is sent to a closed account this may be held in a sxe2x80xa6 httpstcolDZYgz60w8
1023,blarryandsammy Hi there Sorry for the delay in our reply If possible it would be better if you could contact thexe2x80xa6 httpstcosNGMygYG7b
1024,bIanRoulstone Right okay  as youve raised this with us you can keep an eye on the progress through your online mxe2x80xa6 httpstcooJAvSHNfbh
1025,belockett88 Hi Ed with the global restrictions in place some of our teams arent available while others are functixe2x80xa6 httpstcodp4TOvm0x2
1026,bOneAlfieLee Ah brilliant  you can now request that we transfer your credit balance back to your bank account onlixe2x80xa6 httpstcoopcwHD34RF
1027,bPatrick_981 HI Patrick Im really sorry about your wait Did your Mum manage to speak to anyone If not please cxe2x80xa6 httpstcoWN59xgWBxZ
1028,bchrisjcharles I appreciate its a very stressful time Chris I promise were trying to help as soon as we can Asxe2x80xa6 httpstcouU8cCr5nYJ
1029,blewischambers97 Hi Lewis with the global restrictions in place some of our teams arent available while others arxe2x80xa6 httpstcoph8XWsefZW
1030,bMsBPH What is it youre trying to contact us about Brooke Feel free to DM Rach httpstcomPqb4etrYV
1031,bwilberforcepike Hi there thats very strange what happens when you follow the steps to register Are you able to log in Rach
1032,bTimHewage Hi Tim Sorry for the delay in our reply Did you manage to speak to anyone If not please let me knowxe2x80xa6 httpstcolwXANeUufL
1033,bDavidCampbellw2 Is there anything in particular you are looking to do with your Barclaycard at the moment  Pleasexe2x80xa6 httpstcomE01vtnC5J
1034,bDamagedDolphin Can I clarify is your account closed  Ross
1035,bEricJustr I hope you were able to get sorted Eric if not can you please pop over to DM and let me know  a littlexe2x80xa6 httpstco0n9CD0oNh8
1036,bJacksNUFC Hi Jackie Im sorry for the delay Could you please let me know any error codes or messages youve recexe2x80xa6 httpstcoV9vbW0l3ZL
1037,bBfFowler In relation to helping during this time you would need to speak with our team  They are busier than norxe2x80xa6 httpstco0DoNXQzoTu
1038,bBfFowler Hello there sorry for the late reply wait times you had  If you managed to get this sorted fab  If noxe2x80xa6 httpstco4wpu01l65Z
1039,bEeram86 Just call us on 0800 151 0900 24 hours a day and select option 1 after you have heard the recorded messagxe2x80xa6 httpstcoNR05IC9oKS
1040,bEeram86 Hi Kirsty I appreciate where youre coming from The good news is that you can use our automated telephonxe2x80xa6 httpstcoraabeR64gI
1041,bAshJBash Im sorry about this Ashley did you manage to get in touch If not pop over to DM and let me know whatxe2x80xa6 httpstcoLYumsDI9DV
1042,bsparkle1973 Hi Catherine good news Our payment holiday form is now live  All the info you need to apply is righxe2x80xa6 httpstcoP9khDnjUYo
1043,bstevencnoel Hi Steven sorry for the delay Its not great to see that you havent had a response yet If you sendxe2x80xa6 httpstcocEOn5IhmPe
1044,bkatrineturner Hi Katrine Im so sorry fro your wait Were doing everything we can to deal with queries ASAP butxe2x80xa6 httpstcoqOBPyefDR5
1045,bgina1_x Hi Georgina sorry for the delay When you pay off your card this isnt automatically closed You dont nexe2x80xa6 httpstcohFTEatf73r
1046,b466gw Hi there Ive seen your messages through DM and will reply through there shortly  Rach
1047,bnobby_uk You can now request that we transfer your credit balance back to your bank account online to save you havxe2x80xa6 httpstco7YmOymj4Vp
1048,bmrchrishope This should be working now Chris if not can you try clearing your cache and cookies please Brogan
1049,bDenzelbraw Hi Donna Sorry I see what you mean re the automated message part now If you want to pop over to DM wexe2x80xa6 httpstcolCpFLCTzQB
1050,bDenzelbraw Hi Donna Our telephony teams are taking a break today for Easter Sunday but theyll be back online frxe2x80xa6 httpstco0RpuFroJzg
1051,bdlolevino Hey there this should be working can you try clearing your cache and cookies and trying this again Brogan
1052,bgeegeemartini Im sorry about this Geri have you been able to apply If not can you try clearing the cache and cxe2x80xa6 httpstcoIvlP7oF8wa
1053,bkrak3n Hi Chris We have our own contactless mobile payment service available for android users You can find outxe2x80xa6 httpstcoUG1oaXQ6CX
1054,bMrButtersLives I am sorry about this Courtney weve been super busy across all channels Did you get in touch Ifxe2x80xa6 httpstcoxPDHCkEkZu
1055,bSymoSys I am sorry for the delay in getting back to you Paul weve been super busy across all channels Did you gxe2x80xa6 httpstco30JVrNXsXy
1056,balhaq04 Im very sorry about this can you please try clearing your cache and cookies on your device and trying this again Brogan
1057,bHarley90771056 Hi Harley If you want to head over to DM well see if this is something we can help you with Thanxe2x80xa6 httpstcoOlw5qt9Ey9
1058,bKenLewis4 Im very sorry about this can you please try clearing your cache and cookies and trying this again Brogan
1059,bgenesisTimM Hi You need to send a secure message once you log in If you read the link it gives some pointers onxe2x80xa6 httpstcouPSKrLyWou
1060,bteadrinker68 Im sorry about this weve been super busy across all channels Did you get in touch If not can yoxe2x80xa6 httpstcoQsu3RmEqpv
1061,bjadefryer Im sorry about that Jade weve been super busy across all channels Have you been able to get in touchxe2x80xa6 httpstcoTxqHksqcm8
1062,bsimsrach3l Im sorry for the delay in getting back to you Rachel did you get in touch If not pop over to DM andxe2x80xa6 httpstcoP664jAxGSm
1063,bkrak3n We sure do Chris xf0x9fx91x8d Thanks Brendan
1064,bgenesisTimM Hi If its a personal card weve set up a new way to request this online You can find out more on thxe2x80xa6 httpstcors9hQDVxg5
1065,bGURPS73734833 Im sorry for the delay in getting back to you weve been super busy across all channels Did you gxe2x80xa6 httpstconAxquvWJjU
1066,bBBeachBoundd Our payment holiday form is available on our website Dan  All the info you need to apply is right hexe2x80xa6 httpstcoz8N7Xd7eoR
1067,bmerkmoore95 If you pop over to DM with what you were calling for we can certainly see what we can do for you Markxe2x80xa6 httpstcoDWIEXGYopc
1068,baackoo13 Hi When did you close the account We usually leave access to our online services for a period after youxe2x80xa6 httpstco2vDhBie9z3
1069,bbenbarker1975 Hi Ben are you still having trouble loading the form Nic
1070,bRaulAlonso1979 Hi Raul did she manage to get through If not please drop us a DM and let us know what she was caxe2x80xa6 httpstcoaPgXSYcsDJ
1071,bShadabHassan Hi Shadab Im sorry youve had difficulties speaking to the team Did you manage to reach them If nxe2x80xa6 httpstcoLOClpgI8Gq
1072,bAvesDavid Hi David Im really sorry for the delays The team are working hard to support lots of people impactedxe2x80xa6 httpstcoaI640TmT8u
1073,bClaudeLinden Hey Claude you can now request that we transfer your credit balance back to your bank account onlinexe2x80xa6 httpstcouCpX9TAgq9
1074,bMi_Klo Hi Michael Id like to see if I can help get this sorted Would you mind popping into DM so I can send youxe2x80xa6 httpstcoqwKsdqQ3Vm
1075,bDaveyPrater Hi Davey Sorry for the delay Did you manage to get through to get this sorted Feel free to pop overxe2x80xa6 httpstcoX0ybFBMVfu
1076,bEwar41 Youre very welcome Ed let us know if you need anything else Lisa
1077,bhedgehog_farm Hi Sorry for the delay Did you manage to reach the team yesterday If not feel free to drop overxe2x80xa6 httpstcoXwsc7HbrJK
1078,bLeeBowra Did you manage to get sorted Lee If its about your payments then our payment holiday form is now live ixe2x80xa6 httpstco2Jt6M1MmXe
1079,bcheraldlee Hi Cheri Our teams are taking a break today but were working yesterday Did you manage to get this soxe2x80xa6 httpstco33E5fDInL0
1080,bTammyClore AskBarclaysUS No worries  Kristos
1081,bTheJaeMann Hi Jae Sorry for the hold up Did you manage to get through to get this sorted If not head over to Dxe2x80xa6 httpstcoOFJdMIINXx
1082,bTammyClore Thank you for clarifying Tammy Youre speaking with the UK team here but our friends over at atxe2x80xa6 httpstcoBdRrzTdrs1
1083,brfen25 Im very sorry about this Ruth did you manage to log the payment If not please drop us a Private Messagexe2x80xa6 httpstcowMIVDWU7kr
1084,bits_ciaran_92 Hi Ciarxc3xa1n Sorry for the hold up If you want to pop over to DM and let me know your query Ill seexe2x80xa6 httpstcoMPJLw56zax
1085,bmovinsouthagain Hi Kathryn If you want to pop over to DM well help you with this Thanks Brendan httpstcomPqb4etrYV
1086,bRobheath_ Hey Rob I hope youve been able to get in touch If not can you pop over to DM and let me know a littlxe2x80xa6 httpstcoiKfrwmOc2h
1087,bdobiemanengland Hi Colin Sorry for the delay Did you manage to get this sorted If not head over to DM on the bxe2x80xa6 httpstcoHgYLSYwMca
1088,bneilemerydotcom Hi Neil we are following the guidelines that have been set for us and are constantly looking at nxe2x80xa6 httpstcoD9TE51eZcl
1089,bjamesellis09 Perfect  thanks for letting me know James xf0x9fx91x8d Brendan
1090,bhpatterson91 Im very sorry about this Holly weve been super busy across all channels Did you get in touch Ifxe2x80xa6 httpstcoKFZhHQxg1j
1091,bjamesellis09 Hi James Im sorry for the delay in getting back to you Did you manage to get this sorted We madexe2x80xa6 httpstcoL79wYZswaR
1092,bZiggyA91 TheFCA We are following guidelines that have been set for us to follow We can confirm that the entry onxe2x80xa6 httpstcoQg0k1fASqA
1093,bemilyoflanagan Glad you got this sorted Emily Stay safe  Brogan
1094,bPhil93777165 I am very sorry for the delay in getting back to you Phil Im glad you were able to get this sorted Stay safe Brogan
1095,bMariaMihV Hi Maria Well come back to you on DM now Thanks Brendan
1096,bBulIetToothTony Hi If you can drop us a DM well take a look at this for you Thanks Brendan httpstcomPqb4etrYV
1097,bEmmaReardon Hi Emma When you receive a new card you usually have to do one Chip and Pin transaction and then youxe2x80xa6 httpstcoxcXjEKRzGP
1098,bstevenpwoods Im very sorry about this Steven I hope youve been able to get this sorted If not can you send usxe2x80xa6 httpstcogiLyK8W1VQ
1099,bkrak3n Hi Chris thanks for reaching out  we have no plans to support Google Pay at present You can find out morxe2x80xa6 httpstcoJGDMmRnCza
1100,bshannonblessing I am very sorry about this Shannon the form should be working could you try this again Brogan
1101,beddz9102 Hello there Im sorry to see youre having issues activating your card online what error code youre getxe2x80xa6 httpstcoRWs5Qt7hi0
1102,bFletchManagment Im sorry about this can you please try clearing the cache and cookies on your device and tryingxe2x80xa6 httpstcoo5IHlT4Xgc
1103,bCromerty If its a personal Barclaycard feel free to drop us a DM on the button below and well take a look If itxe2x80xa6 httpstcoSpPJTiICni
1104,badkent It looks like my colleague Ramona has been in touch with you and replied to your other tweet with the contaxe2x80xa6 httpstco1iUeioQa2h
1105,bevilhomer80 Glad you were able to get sorted Chris stay safe Brogan
1106,bDeeOgunbiyi Im afraid youll need to give the team a call to discuss this but the team are really busy at the momxe2x80xa6 httpstcoy5t1f3NIDR
1107,bAlanForsyth07 We review our offers frequently Alan and look at lots of factors before applying one to an accountxe2x80xa6 httpstcoHfZ9hI11AM
1108,bSamsLilChocobo Hi Sam Sorry for the hold up Did you manage to get this sorted Thanks Brendan
1109,bDenzelbraw Hi Donna Did you manage to get this sorted If not feel free to pop across to DM on the button belowxe2x80xa6 httpstcoIgAQDySiG5
1110,bRollemasil Hi Lisa did you manage to do this If not can you try clearing the cache and cookies on your web browser please Brogan
1111,bjen_sar21 BarclaysLDN Hi Jennifer Sorry for the delay in getting back to you Did you manage to get this sortedxe2x80xa6 httpstcoOVD77sNoeQ
1112,bDeeOgunbiyi Hi Did you manage to get this sorted Thanks Brendan httpstcomPqb4etrYV
1113,bCharrFee Hi Charlotte So sorry for the delay You may have spotted this already but you can do this online herexe2x80xa6 httpstcoMjho8TZXyr
1114,b8JCM8 Hi Sorry for the delay If you still need help with this just pop across to DM on the button below and wexe2x80xa6 httpstcov9UWbVX0hT
1115,bCromerty Hi Did you manage to get this sorted Thanks Brendan httpstcomPqb4etrYV
1116,brobertjsmith95 Hi Rob If youre still locked out and need help drop us a DM on the button below and well take axe2x80xa6 httpstcogn1MgezgRc
1117,bdavenportsevent Our payment holiday form is now live  All the info you need to apply is right herexe2x80xa6 httpstcooEuBiyo8aM
1118,byorickmoes Hi Sorry for the hold up I can see youve dropped us a DM Well take a look at this now Thanks Brendan
1119,bMatt140685831 Hi Matt Sorry for the delay Thats right youll find the form and address details on this page hexe2x80xa6 httpstcohGPbrEmU2T
1120,bmartindrye Hi Martin Just picked up your last message When you drop us a DM well take a look Thanks Brendan httpstcomPqb4etrYV
1121,bmartindrye Hi Martin If youre still locked out and need some help Drop us a DM on the button below and well taxe2x80xa6 httpstcosmc5Tz7HMk
1122,bLiamMullins16 Thats great news Liam sorry that it took so longnnTake care and stay safennThanksnDan
1123,bPrishalMakwana Hi Prishal Can you please DM me so I can advise what options we have its just Im quite limited in a tweet Thanks Dan
1124,bThanks_NHS_2020 Hi Sorry for the delay in getting back to you Youd need to apply for the 3 month payment holidaxe2x80xa6 httpstcoI8qylI0tgc
1125,bTomStannard10 Hi Tom If youre still having difficulty with this feel free to pop over to DM and well see whatxe2x80xa6 httpstco2L6k1biUjD
1126,bMC_1894 Hey MC you can now request that we transfer your credit balance back to your bank account online to savexe2x80xa6 httpstcoukxjaJvyih
1127,bfuck_twr Hi there Sorry for the delay in our reply This is a support measure is specific to UK account holdersxe2x80xa6 httpstcoHANcwzMEqT
1128,bAnnette62702479 You sure can Annette  you can find details on how to do this here httpstco60fqQbnoLJ Thanks Brendan
1129,b77booth Hi James Sorry for the hold up on our reply It sounds like you may have either had a promotional offer jxe2x80xa6 httpstcoWeDGm2IaZJ
1130,bLondonjenny63 Sorry for the hold up Jenny Did you get this sorted If not you can drop us a secure message whenxe2x80xa6 httpstcod8znn8Y7Zo
1131,bWarrenChurm Good morning sorry for the delay in getting back to you weve been extremely busy You can apply forxe2x80xa6 httpstcoj7Moaxwgx4
1132,bashishdawra Hi Ashish sorry for the delay I can see one of my colleagues has helped to in another message pleasxe2x80xa6 httpstcoOC1IpyCLHP
1133,bquiveen Hi Kevin Wexe2x80x99ll need to take a look at the card to see if there has been any activity Did you manage to gxe2x80xa6 httpstcosGaQKsWVfZ
1134,bIamwaders Hi there sorry for the delay You can now request that we transfer your credit balance back to your banxe2x80xa6 httpstco7D66uP96EY
1135,bMarkSI_UK Hi there sorry for the delay Its not great to see that youre facing these issues could you please lxe2x80xa6 httpstcoagoGI4T2Ug
1136,bMikeLeGeek Hi there Mike Sorry for the delay in getting back to you Weve not received any widespread issues wixe2x80xa6 httpstcoNUoLADeh4k
1137,bWullie71434565 Hi there Wullie Thanks for getting in touch sorry for the delay in getting back in touch Are yoxe2x80xa6 httpstcoBSBNB1WpVy
1138,blmcswish You can arrange to get a credit balance transferred to your current account via the MyBarclaycard onlinexe2x80xa6 httpstcoAmJZrJDuMx
1139,blmcswish If youre still waiting for refunds to be applied to the card it may be best to keep it open until theyve been completed 12
1140,bJamieGBarry Hi there Jamie Sorry for the delay in getting back to you What help do you need and Ill do my bestxe2x80xa6 httpstco84sAQ1soAa
1141,bhandshadowgraph Hi Drew Sorry for the delay in our reply That does sound strange So that we can take a closer lxe2x80xa6 httpstcoh6gRho6IMT
1142,bJackMoylan Hi Jack So sorry for the delay in getting back to you You can do this online or by post to save you wxe2x80xa6 httpstcoQEk5FQXVne
1143,braverfrosty Hi Paul Im really sorry for the delay in our reply Did you manage to speak to the team If not canxe2x80xa6 httpstcos41MIeci5G
1144,bdaniel_peers Hi there Daniel Sorry for the delay in getting back to you Could you please detail each error youxe2x80xa6 httpstcoFtrnh3Rmbw
1145,bTommyDalton Im sorry to hear that Youve been tweeting us here at the UK team youll need to tweet our friendsxe2x80xa6 httpstcovpRDSFg7yc
1146,bcindyemily Hi Cindy sorry for the delay its not great to see this is happening could you please let me know thxe2x80xa6 httpstcoA397wVqblD
1147,bSuerivett Hi Sue Sorry for the delay in getting back to you Wexe2x80x99ve been really busy on all fronts recently Havexe2x80xa6 httpstcokjkqh8Ly53
1148,bjosharandle NoakSpink Hi Josh sorry for the delay Have you been able to speak to someone If not could you plexe2x80xa6 httpstcoGEsa0zM2sd
1149,bTimmerfee Hi Tim sorry for the delay Its not great to see youve not been able to get in touch Could you pleasxe2x80xa6 httpstcoV94PoRNAYE
1150,bScott_Proper_ Our payment holiday form is now live  All the info you need to apply is right herexe2x80xa6 httpstco6ab1K7vTbc
1151,boctavian88888 You can now request that we transfer your credit balance back to your bank account online to save yoxe2x80xa6 httpstcoVv8QPB0JJv
1152,barighttweet Hi Daz sorry for the delay Its not great to hear that youve faced some issues using our automatedxe2x80xa6 httpstco9uUPERXHUS
1153,brobhitchman HI Rob Im sorry for the delay in our reply Can you tell me if there are any error codes or messagesxe2x80xa6 httpstcoRigsaxp1fx
1154,bsupinda_dee Hi Dee Sorry for the delay in getting back to you You can apply for the holiday online now Itxe2x80x99s avaxe2x80xa6 httpstcolpYh9HLzGe
1155,bCathy51584340 Hi Cathy did you get through If not please pop over to DM and let me know what the holiday companyxe2x80xa6 httpstcocX3cGW5FJD
