,text_common
835,balexllyod92 Alex weve super busy across channels Can pop DMxe2x80xa6 httpstcoIoBA7MQorj
836,bDavey_Reegs Davey really wait Were lot busier normal moment Can tellxe2x80xa6 httpstcouD86AB9oS1
837,bJoeYeti91 KLM Can pop let know KLM told Also ATOL protection plxe2x80xa6 httpstcoLpSsIwEn8B
838,bThisIsGaryKing You apply httpstco2C3PNxZqPy youxe2x80x99ve missed payment either March April xe2x80xa6 httpstcox3i0b0DshQ
839,bThisIsGaryKing Gary income affected coronavirus may entitled Barclaycardxe2x80xa6 httpstcoX9g9boPDGY
840,bMisterGurd 22 take actions needed update soon possible Brendan
841,bMisterGurd Gj We fewer colleagues usual coronavirus outbreak In turn wexe2x80x99re also seexe2x80xa6 httpstcofXV5w56c6a
842,bGravit78 Sorry reply Our team lot busier usual Can tell littlxe2x80xa6 httpstcoDFD5E8XYoU
843,bHyndaBohdan things place help customers feeling financial effect currxe2x80xa6 httpstcoC173UK0OvJ
844,bjdm_designs Jonathan Sorry late reply would like let know statement query please drxe2x80xa6 httpstcoctnIq2MfeF
845,barabesque_gifts Having fewer colleagues usual phones right coronavirus outbreakxe2x80xa6 httpstcoRhc7LM682y
846,bOHhayfishhh Sorry delayed reply Did manage speak someone get sorted Brendan
847,bJoelryan01 Can tell little needed speak Please feel free yoxe2x80xa6 httpstcoamO0a89Gk0
848,bJoelryan01 Joel getting back Were experiencing high demand across oxe2x80xa6 httpstcodOqc86bATe
849,bDonxe2x80x99t let scammers take cash thatxe2x80x99s intended charities youxe2x80x99re donating money check itxe2x80x99s going rightxe2x80xa6 httpstcolX4NLSBye7
850,balisonsawyer youxe2x80x99ve missed payment either March April youxe2x80x99re worried youxe2x80x99re missxe2x80xa6 httpstcovdOyoiLYao
851,balisonsawyer getting back Were experiencing high demand across chanxe2x80xa6 httpstcoZfNUZKxAfV
852,bHoney_Bee_4 justanswer Melissa account credit request back xe2x80xa6 httpstcoqVMDYKzfih
853,bdotty_mcc Please send see anything help Brendan 22 httpstcomPqb4etrYV
854,bdotty_mcc Dotty Sorry We smaller number colleagues usual able answer phonesxe2x80xa6 httpstco8xVbOWM1jG
855,bAlly1889 Ally It shoudl show first 6 digits card match one txe2x80xa6 httpstcoN7fGRpGASG
856,bNivineA Sorry Our team seeing high volume disputes moment comes timexe2x80xa6 httpstco8uNPx5sO4b
857,bmongan7 Kris Sorry hold Can pop button well see help yoxe2x80xa6 httpstcoYvZQHNXOkH
858,bCulture_Katy Katy Sorry pop button well see doxe2x80xa6 httpstcoelohMz7Omo
859,bcharlq Charlotte Sorry hold getting back Ill pick Brendan
860,bdaniel_peers Daniel The thing suggest right maybe trying delete card app anxe2x80xa6 httpstco94jhaVLdfC
861,bgeorgiecoxx Georgia Sorry late response Did manage speak anyone since got touch Ifxe2x80xa6 httpstcopGqTl1AUig
862,bBlueraj999 get sorted Can send screenshot problem facing DMxe2x80xa6 httpstcoMwGSO9NkDY
863,bhenrybruford hear Henry sent messages Online Banking Also managexe2x80xa6 httpstcou4O16W7QiP
864,bchryswood Chrys Ive responded post What happened online Did allow Dropxe2x80xa6 httpstcohbrokMRNNl
865,bchryswood Chrys orry delayed response With less staff due Pandemic taking longer ourxe2x80xa6 httpstcopx2eQIU4Fh
866,bSimonAccountant Simon manage get sorted pop let kxe2x80xa6 httpstcoWSgHKwe6NW
867,bleicesterian Our payment holiday form live All info apply right herexe2x80xa6 httpstcoYntbtEtr81
868,bholliemorgan10 Really glad hear thats sorted Thank much patience right Take care stay safe Leigh
869,blmcswish clarifying Luke instance wed really speak phone txe2x80xa6 httpstconclKud3CHJ
870,bmollier77 noticed Tweet would like help Have raised chargeback Leigh
871,bameloah This certainly something get bottom Patricia know itxe2x80x99s ideal right butxe2x80xa6 httpstcoHunLDiYjqV
872,bmonie4112 Offers come go daily option one day could change next This could cxe2x80xa6 httpstcoZciUYfW5iN
873,bteambuchan Katharine help You apply payment holiday credit card ourxe2x80xa6 httpstconAcN3VKnsQ
874,bmulei04 Peetah friends Barclays USA able help page AskBarclaysUS Mondayxe2x80xa6 httpstconF19q5FiLA
875,bAnaVK appreciate call times frustrating promise trying help fast What isxe2x80xa6 httpstcosSTHJonMhm
876,bifwewouldnot Hey David request transfer credit balance back bank account onlinexe2x80xa6 httpstcoWjmuPphWDp
877,bDamagedDolphin Sorry confusion looks like may AskBarclaysUS customer You contact Mxe2x80xa6 httpstcohY3v8KTRTM
878,bcarlo6680 Carl late reply You query transaction via online account raise investxe2x80xa6 httpstcoCJYffLVtVN
879,brobbarker1982 Rob You make minimum payment shown last statement Any refunds willxe2x80xa6 httpstcou6oCwasH0v
880,bKellyWelburn Kelly There delays things getting processed due Pandemic anxe2x80xa6 httpstco9UlzJy68WO
881,bKerbyEmily Emily Sorry fewer colleagues investigating cases right Pandemic Thisxe2x80xa6 httpstcoRDgRlXQ8Ly
882,bFor information please visit httpstco8sNAQsS9kh httpstco6jBavrJkPG
883,brqmorrel Rob doesnt sound good would love help come Barclaycard UK Youllxe2x80xa6 httpstcoMDzEDqEAJJ
884,buribeanairis Anairis read It looks like contact team US thxe2x80xa6 httpstconafxtNxblT
885,bGChar65 please drop message wexe2x80x99ll get back quickly Stay safe Brendan 33
886,bGChar65 We appreciate may frustrating colleagues working quickly possible try hexe2x80xa6 httpstcopMDimEEF9U
887,bGChar65 Charlie We fewer colleagues usual answering phones right becausxe2x80xa6 httpstco8fsPX9g8Kx
888,bAnorakmk2Phil Phil due fewer staff current Pandemic may take longer specialist txe2x80xa6 httpstcoaQQe6Svl5k
889,bRoosterios It may possible sign online banking help manage account youxe2x80xa6 httpstcohn7UmukFcm
890,btezo89 Tezxc3xb2 cant really advise would happen team got take necessaryxe2x80xa6 httpstcopTw60NWw0t
891,bJ_GRANT1109 22 transaction list along expiry offer hope helpsnThanks Brendan
892,bJ_GRANT1109 You wont see available offers balance transfers shown donxe2x80xa6 httpstcohZvgHPUVTz
893,bmarcodefig Marco It looks like speak digital team 0800 161 530xe2x80xa6 httpstcoZddJWt71zR
894,bLondonfoodieguy thank much bearing busy time still havingxe2x80xa6 httpstcosIhARiF4dp
895,bbenbarker1975 Perfect Were 247 anything else Ben Take care Brogan
896,bqweenthing Morning To get right help check linked US UK account Brendan
897,bali_m_taylor Alexandra Is UK account payment go towards transactions wouldxe2x80xa6 httpstco6k4pe8ftFD
898,bpabintnorth78 larryandsammy Paul would call team 0800 151 0900 0xe2x80xa6 httpstcorX6OWv20Vd
899,bWullie71434565 Can tell error code error message thatxe2x80x99s popping Have tried logging thexe2x80xa6 httpstcoaDCx3x4NX8
900,bAshiiHamid Ashii Sorry getting back see looks though youxe2x80x99ve nxe2x80xa6 httpstco7TRgGPPWlJ
901,bholliemorgan10 Hollie Sorry getting back Have missed payments paid late Andy
902,bClaudeLinden We would take closer look securely The lines busier normal due currenxe2x80xa6 httpstcorNl29JTtyH
903,bSueTurnbull Sue browser issue Please clear cache cookies try different browser Leigh
904,bAdamDUBDay letting know Adam strange see isnt working Would plxe2x80xa6 httpstcoaMWZzszh0O
905,bHighburySam Sam Sorry getting back Have forms yet What oxe2x80xa6 httpstcovfwh90v0g6
906,bfayeelizabeth80 adkent Itxe2x80x99s ideal current environment would post screen shots cxe2x80xa6 httpstcoLhbUyvyoBa
907,bTheGoodFoodShop Ah thats great hear glad managed get sorted end timexe2x80xa6 httpstcoxdp2IkEMcN
908,bFischHenny Henny able get Wexe2x80x99re exceptionally busy rigxe2x80xa6 httpstcoP1sQYeHJyR
909,bchrisspencer117 Chris open reduced number staff right Can tell neexe2x80xa6 httpstco61J4VWcPc8
910,bDamagedDolphin account closed wonxe2x80x99t able access online What needed log Andy
911,bnobby_uk Andy Give shout anything else hope lovely Easter Rach
912,bHarley90771056 Hello Harley lines busier normal due current events Please call 08001510900 curxe2x80xa6 httpstcoMJyWA9uETq
913,bquiveen Sorry thanks letting know Kevin In instance would recommend continuixe2x80xa6 httpstcof5WwjPgb47
914,bEmmaReardon Unfortunately set automatically security precaution cards We cannot stop security feature Lisa
915,blmcswish Youve mentioned card due close Luke Feel free Rach
916,bfpwilliams71 Hello Paul speak customer services The number 08001510900 cuxe2x80xa6 httpstco3AqNT6TKQl
917,bcjmolyneux Chris web page different options raise httpstcoQJIlSCYHWJ Ross
918,bTimHewage happy hear youve able get sorted Tim length time takxe2x80xa6 httpstcoXCHsrZP4jy
919,bdavenportsevent Glad hear Take care stay safe Leigh
920,bZiggyA91 appreciate concerns let assure following guidelines set usxe2x80xa6 httpstcoiZp9PkGYX6
921,bOneAlfieLee confusion Alfie option available website You use thexe2x80xa6 httpstco35gG6s4Qbu
922,blewischambers97 hear Lewis instance afraid youll give call directly bxe2x80xa6 httpstcorVfpp34Dr9
923,bMarlonDWSmith Sorry Marlon 19 March wonxe2x80x99t charging late payment cash advance feesxe2x80xa6 httpstcoT6rXCalYov
924,bArianaSpawn Please follow one steps link raise dispute httpstcoO2v1FoFjWV Ross 22
925,bArianaSpawn Hello Ariana experiencing high call volumes also consider health oxe2x80xa6 httpstcoufzwEWn9Cm
926,bercingokhantunc Ercin Ive replied youve sent help Steven B
927,bjosharandle provided reference Please come characterxe2x80xa6 httpstcoUspVruxMPu
928,bJoeYeti91 Hello Joe looking claim back Ross
929,bJamieGBarry Right okay feel free pop tell try help Rach httpstcomPqb4etrYV
930,bAnaVK Sorry late reply We experiencing high call volumes also consider healxe2x80xa6 httpstcoTkZ8cZuxHu
931,bpimran786 Imran know frustrating Feel free pop youd like try helpxe2x80xa6 httpstcomGZymL4ktz
932,bJasmelBarring please come character count higher explain wanting knoxe2x80xa6 httpstcoDtF3JzuFJe
933,bJasmelBarring Hello Jasmel late reply We experiencing high call volumes also havinxe2x80xa6 httpstcoU1UK9zDdIu
934,bFindingCyril fewer colleagues usual answering phones right coronavirxe2x80xa6 httpstco4G5oDZOG8k
935,bQuinnKel Kelly looking number assuming looking reach Barclaycard US youxe2x80x99ve Tweetexe2x80xa6 httpstco4mPvtvcV9K
936,bhannah_walker95 Hannah delays calling weve lot customers calling supportxe2x80xa6 httpstcoPVwpDyomaf
937,bmoonphazes Ames see messaged days ago manage get back usxe2x80xa6 httpstcoTTG2CNOk5V
938,bameloah Right okay thanks explaining Patricia youve heard back You request wexe2x80xa6 httpstcon1nkr78XEp
939,bAlexWood_Barton Ah nice one Alex Remember 247 ever future In meantxe2x80xa6 httpstcoFFx8kithE8
940,bAnandBhatt27 Anand review card usage regular basis customer using card may canxe2x80xa6 httpstcoMPyRAsXu5F
941,bKellyWelburn Thank patience Kelly hear shorter trip glad hear got sorted Leigh
942,bstephenwilson37 Thank patience Stephen glad hear got sorted Leigh
943,bCODWarfareForum Hey select card app scroll select View PIN enter caxe2x80xa6 httpstcofE6K0CdVED
944,bDeeOgunbiyi Hey Dee glad managed get sorted end xf0x9fx98x81 Ive passed message thexe2x80xa6 httpstcoM3r5G2zcDC
945,bOrganicbetlous How help Nancy easier Dean httpstcomPqb4etrYV
946,bLondonErato Jacqueline hear Were certainly helping customers payment holidays wexe2x80xa6 httpstcoas2SyhaXGd
947,bminimal_style13 Sorry Did manage get sorted head buttonxe2x80xa6 httpstcofku3P7Obtt
948,bnickychurchill Nicky In case friends BcardBusiness able take look yxe2x80xa6 httpstcouuBG3ATcQQ
949,bSaluteMyGayness Hey Lola see mentioned please reach AskBarclaysUS Mondayxe2x80xa6 httpstcop9xKAqidp6
950,bJamiesawicki1 Jamie pop take look Brendan httpstcomPqb4etrYV
951,bAnMNewsbox Youe welcome Rehana Stay Safe Cass
952,bCliffCartwright Cliff Were working queue secure messages momentxe2x80xa6 httpstcoYxtxoFZQxX
953,btezo89 Sorry getting back Have heard back team yet know theyre reallxe2x80xa6 httpstcoRMzQs5OPlW
954,bkatiecustardo Kate hold Did manage get team get sorted Ifxe2x80xa6 httpstcohtnQC4Swmy
955,bEthanTa92753389 BarclaysBankUS sure theyll get back soon Ethan patience Cass
956,bJ_GRANT1109 Sorry Thats right youll able see statement log thxe2x80xa6 httpstcodCEKCn25Wz
957,bcallum1790 Callum We queues channels moment Did get response youxe2x80xa6 httpstcoIkWXLaxWF5
958,bspeedster67 Jonathan Sorry still help head button andxe2x80xa6 httpstcoLXYjo3aSQG
959,bEthanTa92753389 Ah case youll speak BarclaysBankUS Ethan Theyll able point txe2x80xa6 httpstcoppftCT3JRV
960,bEthanTa92753389 really Ethan thats something Can make sure UK Barxe2x80xa6 httpstcoZUW8UprejA
961,bDougie_HW Dougie help Barclaycard youre welcome drop take lookxe2x80xa6 httpstcoJQFTwlfcSy
962,bHothi Manny Sorry hold Did manage sort may find quickest optionxe2x80xa6 httpstcoeeOyOAGAZI
963,bObrienKieron Kieron hold Did manage get question answered dropxe2x80xa6 httpstcoGljRDvcLaa
964,bbecca_cobb Becca Sorry hold Ive dropped help Brendan
965,bmrvm3110 moneyboxteam StarlingBank RevolutApp MampM xf0x9fx92xaa Stay Safe Cass
966,bGary_Cookson Gary Sorry fewer colleagues supporting channels moment due impact coxe2x80xa6 httpstco2nKzE8yAhv
967,bcurazychic Melissa Did manage get sorted send quick withxe2x80xa6 httpstcoXEjJVpNfwT
968,bL4UR3_N Lauren Sorry hold want pop button take look Txe2x80xa6 httpstcogu20tbtPU0
969,bEthanTa92753389 22 isnt urgent youre OK wait little would great urgxe2x80xa6 httpstcouWDUT9ne7L
970,bmarcodefig Marco Sorry responding Is still showing managed clear Brendan
971,bEthanTa92753389 Ethan really Due current circumstances asking customersxe2x80xa6 httpstcobUE15h0UGp
972,bEthanTa92753389 Blades60Martyn Ethan Sorry getting back want pop Dxe2x80xa6 httpstcosCNGaDoIyW
973,bmonie4112 We review offers frequently afraid offers showing moment therexe2x80xa6 httpstco9wGz5txuNx
974,bpabintnorth78 larryandsammy You request transfer credit balance back bank account onxe2x80xa6 httpstcoXGAXH3jGVx
975,bEthanTa92753389 youre problems getting Ethan Were dealing much higher volumxe2x80xa6 httpstco8x38VWXI4g
976,bvitosauras 22 link httpstcoO2v1FoFjWV scroll bottom page youll find relevant disxe2x80xa6 httpstco9jEqsnG35K
977,bvitosauras Helen getting back Were working online solution thisxe2x80xa6 httpstcoQVA97heKfR
978,blouisexwilkes Can pop let know youre calling well look helpxe2x80xa6 httpstcofDOTawYeCo
979,bTrigster_1 hope youve gotten sorted Colin also done app access notxe2x80xa6 httpstcoOON7HgCk9I
980,bKazzachick Have filled form repayment holiday KarenIf herexe2x80xa6 httpstcoldoyvCYRPZ
981,bNotoriousP_I_E Jason hope youve able get touch raise dispute within Onlixe2x80xa6 httpstcoQXeQDX0XQ6
982,bSamBull33 Samantha youre worried interest charges may best call team 0800 151 09xe2x80xa6 httpstco2XA7F0R3in
983,bOMGHarveyNY hope able get pop let know youxe2x80xa6 httpstcoURrAdp8IYg
984,bItxe2x80x99s useful know goes credit score xe2x80x94 things affect Find morexe2x80xa6 httpstcoyfmSdzRrpm
985,bthis_benson Tony Sorry replying Youll find steps needed raise dispute withxe2x80xa6 httpstcolnRzdSDUDJ
986,bWardy00 Dave Sorry getting back Did get fixed pop thexe2x80xa6 httpstco28WVDn8U5P
987,bneal_strange Neal Sorry hold Youll find guidance link bottxe2x80xa6 httpstcoYSmlVEovTS
988,bsusannah_t Susannah Ive picked responded check let know details welxe2x80xa6 httpstcofBJcak2e2U
989,bTheRobDuncan Sorry responding Rob still get touch let know bexe2x80xa6 httpstco6KIi5Cy2rI
990,blarryandsammy received refund transfer credit balance back bank accouxe2x80xa6 httpstcoGvz9297sGo
991,bJayeThomas6 So Jaye Ill take look get back Cass
992,bi_mccullough There bit wait moment Ian leave little definitely would Stay Safe Cass
993,boakwash Tshilham Ive replied message Jack looks like Dan case one Cass
994,boakwash paulrdon Sorry Jack Dans replied let know hes looking whats happened Cass
995,bCharleeStCloud Ah youd speak Disputes team get claim forms posted Charlie Thexe2x80xa6 httpstcoy5GFgUfjO8
996,bCaptainstevie Sorry getting back Did get sorted head onxe2x80xa6 httpstcozKvIWLeH3Y
997,bx_amylouisee Sorry getting back Our phone lines busy moment tryinxe2x80xa6 httpstcoICrBY9kNCt
998,bTshilham Tam Sorry getting back Did manage get sorted feel free hxe2x80xa6 httpstcoK1EQDCr3FX
999,bi_mccullough Ian Were hear youd like close Barclaycard account To would nexe2x80xa6 httpstco6rnJplbUKJ
1000,bFavelao1973 LaoluOfficial Sorry Were working high number dispute cases atxe2x80xa6 httpstco3hRXJuLEFe
1001,bLouizaJeffcoat Louiza Sorry hold Did manage get sorted drop thxe2x80xa6 httpstcoSSV3dVZbYp
1002,bgxzs Sorry hold reply All cards contactless look cardxe2x80xa6 httpstcoCkuUclcrtH
1003,bpaulrdon Hey Paul really difficulties getting hope youre sorted ifxe2x80xa6 httpstcoMkjNXMWjR0
1004,bsheldy82 Fab thanks letting know David Cass
1005,bSaluteMyGayness Lola Our buddies AskBarclaysUS would best team link support forxe2x80xa6 httpstco1mHASkbOKE
1006,bNazmaChowdhury3 Nazma Sorry hold still help head let know youxe2x80xa6 httpstcoSwOMk67RB7
1007,bNeesonRemovals Sorry hold Did manage get feel free head txe2x80xa6 httpstcoqHekXGmTxl
1008,bheardatUNR Brad Sorry hold Is US account buddies AskBarclaysUS wilxe2x80xa6 httpstcoClNO9LSXeq
1009,bjay_08C Jay Is linked UK US account think may US friends overxe2x80xa6 httpstcoxFeuVt6lI1
1010,bAndrea04433624 Weve withdrawn offers always available For technical difficulties messagxe2x80xa6 httpstcohFDwJ8AhyW
1011,bThomasjtaylor92 Thomas pop button well happy take look yoxe2x80xa6 httpstcoN43hCqU57X
1012,bdazdazzle Thats totally fine Daz Jay
1013,br4ipie T_Bron There youre issues getting team reach ourxe2x80xa6 httpstcoeCr0H5afe5
1014,bPeterAKAKincl Hiya Peter Id like see help Can tell bit situation yxe2x80xa6 httpstcoFvJTp1hKSB
1015,bRath0X good news raise myBarclaycard online Pop wexe2x80xa6 httpstcoJQmBS3aHCG
1016,bwhitefrank95 would like look please feel free Nicola httpstcomPqb4etrYV
1017,bAdamDUBDay Adam Id like try understand whats going upload documents Is asking furxe2x80xa6 httpstcotRexf13Lgu
1018,bLuciousXVIII Feel free pop see help Rach httpstcomPqb4etrYV
1019,bwheildon140461 Hey Steven global situation busier usual teams arent officexe2x80xa6 httpstcot1ygm6YpoU
1020,bDavidSt09130967 Hey David Id like try help feel free pop info whats happened xe2x80xa6 httpstcoTOJ4yezwFG
1021,bsholroyd31 feedback Stephen really glad able get sorted end though give uxe2x80xa6 httpstcoAWEa1NzmM6
1022,blarryandsammy However possible refund sent closed account may held sxe2x80xa6 httpstcolDZYgz60w8
1023,blarryandsammy Sorry reply possible would better could contact thexe2x80xa6 httpstcosNGMygYG7b
1024,bIanRoulstone Right okay youve raised keep eye progress online mxe2x80xa6 httpstcooJAvSHNfbh
1025,belockett88 Ed global restrictions place teams arent available others functixe2x80xa6 httpstcodp4TOvm0x2
1026,bOneAlfieLee Ah brilliant request transfer credit balance back bank account onlixe2x80xa6 httpstcoopcwHD34RF
1027,bPatrick_981 HI Patrick really wait Did Mum manage speak anyone please cxe2x80xa6 httpstcoWN59xgWBxZ
1028,bchrisjcharles appreciate stressful time Chris promise trying help soon Asxe2x80xa6 httpstcouU8cCr5nYJ
1029,blewischambers97 Lewis global restrictions place teams arent available others arxe2x80xa6 httpstcoph8XWsefZW
1030,bMsBPH What youre trying contact Brooke Feel free Rach httpstcomPqb4etrYV
1031,bwilberforcepike thats strange happens follow steps register Are able log Rach
1032,bTimHewage Tim Sorry reply Did manage speak anyone please let knowxe2x80xa6 httpstcolwXANeUufL
1033,bDavidCampbellw2 Is anything particular looking Barclaycard moment Pleasexe2x80xa6 httpstcomE01vtnC5J
1034,bDamagedDolphin Can clarify account closed Ross
1035,bEricJustr hope able get sorted Eric please pop let know littlexe2x80xa6 httpstco0n9CD0oNh8
1036,bJacksNUFC Jackie Could please let know error codes messages youve recexe2x80xa6 httpstcoV9vbW0l3ZL
1037,bBfFowler In relation helping time would speak team They busier norxe2x80xa6 httpstco0DoNXQzoTu
1038,bBfFowler Hello late reply wait times managed get sorted fab noxe2x80xa6 httpstco4wpu01l65Z
1039,bEeram86 Just call 0800 151 0900 24 hours day select option 1 heard recorded messagxe2x80xa6 httpstcoNR05IC9oKS
1040,bEeram86 Kirsty appreciate youre coming The good news use automated telephonxe2x80xa6 httpstcoraabeR64gI
1041,bAshJBash Ashley manage get touch pop let know whatxe2x80xa6 httpstcoLYumsDI9DV
1042,bsparkle1973 Catherine good news Our payment holiday form live All info apply righxe2x80xa6 httpstcoP9khDnjUYo
1043,bstevencnoel Steven Its great see havent response yet sendxe2x80xa6 httpstcocEOn5IhmPe
1044,bkatrineturner Katrine fro wait Were everything deal queries ASAP butxe2x80xa6 httpstcoqOBPyefDR5
1045,bgina1_x Georgina When pay card isnt automatically closed You dont nexe2x80xa6 httpstcohFTEatf73r
1046,b466gw Ive seen messages reply shortly Rach
1047,bnobby_uk You request transfer credit balance back bank account online save havxe2x80xa6 httpstco7YmOymj4Vp
1048,bmrchrishope This working Chris try clearing cache cookies please Brogan
1049,bDenzelbraw Donna Sorry see mean automated message part want pop wexe2x80xa6 httpstcolCpFLCTzQB
1050,bDenzelbraw Donna Our telephony teams taking break today Easter Sunday theyll back online frxe2x80xa6 httpstco0RpuFroJzg
1051,bdlolevino Hey working try clearing cache cookies trying Brogan
1052,bgeegeemartini Geri able apply try clearing cache cxe2x80xa6 httpstcoIvlP7oF8wa
1053,bkrak3n Chris We contactless mobile payment service available android users You find outxe2x80xa6 httpstcoUG1oaXQ6CX
1054,bMrButtersLives Courtney weve super busy across channels Did get touch Ifxe2x80xa6 httpstcoxPDHCkEkZu
1055,bSymoSys getting back Paul weve super busy across channels Did gxe2x80xa6 httpstco30JVrNXsXy
1056,balhaq04 please try clearing cache cookies device trying Brogan
1057,bHarley90771056 Harley want head well see something help Thanxe2x80xa6 httpstcoOlw5qt9Ey9
1058,bKenLewis4 please try clearing cache cookies trying Brogan
1059,bgenesisTimM You send secure message log read link gives pointers onxe2x80xa6 httpstcouPSKrLyWou
1060,bteadrinker68 weve super busy across channels Did get touch yoxe2x80xa6 httpstcoQsu3RmEqpv
1061,bjadefryer Jade weve super busy across channels Have able get touchxe2x80xa6 httpstcoTxqHksqcm8
1062,bsimsrach3l getting back Rachel get touch pop andxe2x80xa6 httpstcoP664jAxGSm
1063,bkrak3n We sure Chris xf0x9fx91x8d Brendan
1064,bgenesisTimM personal card weve set new way request online You find thxe2x80xa6 httpstcors9hQDVxg5
1065,bGURPS73734833 getting back weve super busy across channels Did gxe2x80xa6 httpstconAxquvWJjU
1066,bBBeachBoundd Our payment holiday form available website Dan All info apply right hexe2x80xa6 httpstcoz8N7Xd7eoR
1067,bmerkmoore95 pop calling certainly see Markxe2x80xa6 httpstcoDWIEXGYopc
1068,baackoo13 When close account We usually leave access online services period youxe2x80xa6 httpstco2vDhBie9z3
1069,bbenbarker1975 Ben still trouble loading form Nic
1070,bRaulAlonso1979 Raul manage get please drop let know caxe2x80xa6 httpstcoaPgXSYcsDJ
1071,bShadabHassan Shadab youve difficulties speaking team Did manage reach nxe2x80xa6 httpstcoLOClpgI8Gq
1072,bAvesDavid David really delays The team working hard support lots people impactedxe2x80xa6 httpstcoaI640TmT8u
1073,bClaudeLinden Hey Claude request transfer credit balance back bank account onlinexe2x80xa6 httpstcouCpX9TAgq9
1074,bMi_Klo Michael Id like see help get sorted Would mind popping send youxe2x80xa6 httpstcoqwKsdqQ3Vm
1075,bDaveyPrater Davey Sorry Did manage get get sorted Feel free pop overxe2x80xa6 httpstcoX0ybFBMVfu
1076,bEwar41 Youre welcome Ed let know anything else Lisa
1077,bhedgehog_farm Sorry Did manage reach team yesterday feel free drop overxe2x80xa6 httpstcoXwsc7HbrJK
1078,bLeeBowra Did manage get sorted Lee payments payment holiday form live ixe2x80xa6 httpstco2Jt6M1MmXe
1079,bcheraldlee Cheri Our teams taking break today working yesterday Did manage get soxe2x80xa6 httpstco33E5fDInL0
1080,bTammyClore AskBarclaysUS No worries Kristos
1081,bTheJaeMann Jae Sorry hold Did manage get get sorted head Dxe2x80xa6 httpstcoOFJdMIINXx
1082,bTammyClore Thank clarifying Tammy Youre speaking UK team friends atxe2x80xa6 httpstcoBdRrzTdrs1
1083,brfen25 Ruth manage log payment please drop Private Messagexe2x80xa6 httpstcowMIVDWU7kr
1084,bits_ciaran_92 Ciarxc3xa1n Sorry hold want pop let know query Ill seexe2x80xa6 httpstcoMPJLw56zax
1085,bmovinsouthagain Kathryn want pop well help Brendan httpstcomPqb4etrYV
1086,bRobheath_ Hey Rob hope youve able get touch pop let know littlxe2x80xa6 httpstcoiKfrwmOc2h
1087,bdobiemanengland Colin Sorry Did manage get sorted head bxe2x80xa6 httpstcoHgYLSYwMca
1088,bneilemerydotcom Neil following guidelines set constantly looking nxe2x80xa6 httpstcoD9TE51eZcl
1089,bjamesellis09 Perfect thanks letting know James xf0x9fx91x8d Brendan
1090,bhpatterson91 Holly weve super busy across channels Did get touch Ifxe2x80xa6 httpstcoKFZhHQxg1j
1091,bjamesellis09 James getting back Did manage get sorted We madexe2x80xa6 httpstcoL79wYZswaR
1092,bZiggyA91 TheFCA We following guidelines set follow We confirm entry onxe2x80xa6 httpstcoQg0k1fASqA
1093,bemilyoflanagan Glad got sorted Emily Stay safe Brogan
1094,bPhil93777165 getting back Phil glad able get sorted Stay safe Brogan
1095,bMariaMihV Maria Well come back Brendan
1096,bBulIetToothTony drop well take look Brendan httpstcomPqb4etrYV
1097,bEmmaReardon Emma When receive new card usually one Chip Pin transaction youxe2x80xa6 httpstcoxcXjEKRzGP
1098,bstevenpwoods Steven hope youve able get sorted send usxe2x80xa6 httpstcogiLyK8W1VQ
1099,bkrak3n Chris thanks reaching plans support Google Pay present You find morxe2x80xa6 httpstcoJGDMmRnCza
1100,bshannonblessing Shannon form working could try Brogan
1101,beddz9102 Hello see youre issues activating card online error code youre getxe2x80xa6 httpstcoRWs5Qt7hi0
1102,bFletchManagment please try clearing cache cookies device tryingxe2x80xa6 httpstcoo5IHlT4Xgc
1103,bCromerty personal Barclaycard feel free drop button well take look itxe2x80xa6 httpstcoSpPJTiICni
1104,badkent It looks like colleague Ramona touch replied tweet contaxe2x80xa6 httpstco1iUeioQa2h
1105,bevilhomer80 Glad able get sorted Chris stay safe Brogan
1106,bDeeOgunbiyi afraid youll give team call discuss team really busy momxe2x80xa6 httpstcoy5t1f3NIDR
1107,bAlanForsyth07 We review offers frequently Alan look lots factors applying one accountxe2x80xa6 httpstcoHfZ9hI11AM
1108,bSamsLilChocobo Sam Sorry hold Did manage get sorted Brendan
1109,bDenzelbraw Donna Did manage get sorted feel free pop across button belowxe2x80xa6 httpstcoIgAQDySiG5
1110,bRollemasil Lisa manage try clearing cache cookies web browser please Brogan
1111,bjen_sar21 BarclaysLDN Jennifer Sorry getting back Did manage get sortedxe2x80xa6 httpstcoOVD77sNoeQ
1112,bDeeOgunbiyi Did manage get sorted Brendan httpstcomPqb4etrYV
1113,bCharrFee Charlotte So You may spotted already online herexe2x80xa6 httpstcoMjho8TZXyr
1114,b8JCM8 Sorry still help pop across button wexe2x80xa6 httpstcov9UWbVX0hT
1115,bCromerty Did manage get sorted Brendan httpstcomPqb4etrYV
1116,brobertjsmith95 Rob youre still locked help drop button well take axe2x80xa6 httpstcogn1MgezgRc
1117,bdavenportsevent Our payment holiday form live All info apply right herexe2x80xa6 httpstcooEuBiyo8aM
1118,byorickmoes Sorry hold see youve dropped Well take look Brendan
1119,bMatt140685831 Matt Sorry Thats right youll find form address details page hexe2x80xa6 httpstcohGPbrEmU2T
1120,bmartindrye Martin Just picked last message When drop well take look Brendan httpstcomPqb4etrYV
